iter	Passed	Remaining
1548	29209	17932
1549	29237	17919
1550	29266	17906
1551	29292	17892
1552	29321	17879
1553	29350	17867
1554	29377	17853
1555	29407	17840
1556	29435	17827
1557	29467	17816
1558	29493	17801
1559	29519	17787
1560	29546	17773
1561	29576	17760
1562	29607	17749
1563	29635	17736
1564	29662	17721
1565	29688	17707
1566	29714	17692
1567	29742	17678
1568	29769	17664
1569	29796	17650
1570	29823	17636
1571	29851	17621
1572	29879	17608
1573	29907	17594
1574	29935	17581
1575	29962	17566
1576	29999	17558
1577	30027	17544
1578	30056	17531
1579	30083	17517
1580	30108	17501
1581	30134	17486
1582	30164	17473
1583	30193	17460
1584	30226	17449
1585	30259	17438
1586	30290	17425
1587	30309	17406
1588	30328	17388
1589	30347	17368
1590	30366	17349
1591	30383	17329
1592	30401	17309
1593	30420	17290
1594	30438	17270
1595	30456	17250
1596	30473	17230
1597	30490	17210
1598	30506	17189
1599	30525	17170
1600	30544	17151
1601	30562	17131
1602	30581	17112
1603	30599	17092
1604	30616	17072
1605	30636	17053
1606	30655	17034
1607	30673	17015
1608	30690	16995
1609	30708	16975
1610	30725	16955
1611	30743	16935
1612	30761	16916
1613	30779	16896
1614	30796	16875
1615	30815	16856
1616	30832	16836
1617	30850	16817
1618	30867	16796
1619	30884	16776
1620	30902	16757
1621	30919	16737
1622	30939	16718
1623	30957	16699
1624	30976	16679
1625	30996	16661
1626	31013	16640
1627	31031	16621
1628	31050	16602
1629	31067	16582
1630	31086	16562
1631	31104	16543
1632	31121	16523
1633	31139	16503
1634	31170	16490
1635	31187	16470
1636	31207	16451
1637	31225	16432
1638	31244	16413
1639	31264	16395
1640	31287	16377
1641	31307	16359
1642	31332	16342
1643	31354	16325
1644	31378	16309
1645	31401	16291
1646	31426	16276
1647	31447	16258
1648	31467	16239
1649	31492	16223
1650	31513	16205
1651	31532	16186
1652	31553	16167
1653	31574	16149
1654	31595	16131
1655	31617	16114
1656	31638	16095
1657	31657	16077
1658	31675	16057
1659	31694	16038
1660	31713	16019
1661	31733	16000
1662	31751	15980
1663	31770	15961
1664	31789	15942
